# Repose of the Silent One
Z0101: Beginning room
Z0102: Weapon room
Z0103: Tutorial room
Z0105: Prie dieu room
Z0106: Boss room
Z0107: Ravine entrance room
Z0108: Tower entrance room
Z0109: Cobijada room
Z0110: Penitence room
# Ravine of the High Stones
Z0201: Z0201
Z1107: Z1107
Z1108: Z1108
Z1109: Z1109
Z1110: Z1110
Z1111: Z1111
Z1112: Z1112
Z1113: Z1113
Z1114: Z1114
Z1115: Z1115
# Sunken Cathedral
Z1201: Z1201
Z1202: Z1202
Z1203: Z1203
Z1204: Z1204
Z1205: Z1205
Z1206: Z1206
Z1207: Z1207
Z1208: Z1208
Z1209: Z1209
Z1210: Z1210
Z1211: Z1211
Z1212: Z1212
Z1213: Z1213
Z1214: Z1214
Z1215: Z1215
Z1216: Z1216
Z1217: Z1217
Z1218: Z1218
Z1219: Z1219
Z1220: Z1220
# Two Moons
Z1301: Z1301
Z1302: Z1302
Z1303: Z1303
Z1304: Z1304
Z1305: Z1305
Z1306: Z1306
Z1307: Z1307
Z1308: Z1308
Z1309: Z1309
Z1310: Z1310
Z1311: Z1311
Z1312: Z1312
Z1313: Z1313
Z1314: Z1314
Z1315: Z1315
Z1316: Z1316
Z1317: Z1317
Z1318: Z1318
Z1319: Z1319
Z1320: Z1320
Z1321: Z1321
Z1322: Z1322
Z1323: Z1323
Z1324: Z1324
Z1325: Z1325
Z1326: Z1326
Z1327: Z1327
Z1328: Z1328
Z1329: Z1329
Z1330: Z1330
Z1331: Z1331
Z1332: Z1332
Z1333: Z1333
Z1334: Z1334
Z1335: Z1335
Z1336: Z1336
Z1337: Z1337
# Mother of Mothers
Z1402: Z1402
Z1403: Z1403
Z1404: Z1404
Z1405: Z1405
Z1406: Z1406
Z1407: Z1407
Z1408: Z1408
Z1409: Z1409
Z1410: Z1410
Z1417: Z1417
Z1418: Z1418
Z1419: Z1419
Z1420: Z1420
Z1421: Z1421
Z1422: Z1422
Z1423: Z1423
Z1424: Z1424
Z1425: Z1425
Z1426: Z1426
Z1427: Z1427
Z1428: Z1428
Z1429: Z1429
Z1430: Z1430
Z1431: Z1431
# Dreams of Incense
Z1501: Z1501
Z1502: Z1502
Z1503: Z1503
Z1504: Z1504
Z1505: Z1505
Z1506: Z1506
Z1507: Z1507
# The Severed Tower
Z1601: Z1601
Z1602: Z1602
Z1603: Z1603
Z1604: Z1604
Z1605: Z1605
Z1606: Z1606
Z1607: Z1607
Z1608: Z1608
Z1609: Z1609
Z1610: Z1610
Z1611: Z1611
Z1612: Z1612
Z1613: Z1613
Z1614: Z1614
Z1615: Z1615
Z1616: Z1616
Z1617: Z1617
Z1618: Z1618
Z1619: Z1619
Z1620: Z1620
Z1621: Z1621
Z1622: Z1622
Z1623: Z1623
Z1624: Z1624
Z1625: Z1625
Z1626: Z1626
Z1627: Z1627
Z1628: Z1628
# Streets of Wakes
Z1701: Z1701
Z1702: Z1702
Z1703: Z1703
Z1704: Z1704
Z1705: Z1705
Z1706: Z1706
Z1707: Z1707
Z1708: Z1708
Z1709: Z1709
Z1710: Z1710
Z1712: Z1712
Z1713: Z1713
Z1714: Z1714
Z1715: Z1715
Z1716: Z1716
Z1717: Z1717
Z1718: Z1718
Z1719: Z1719
Z1720: Z1720
Z1721: Z1721
Z1722: Z1722
# Crimson Rains
Z1801: Z1801
Z1802: Z1802
Z1803: Z1803
Z1804: Z1804
Z1805: Z1805
Z1806: Z1806
Z1807: Z1807
Z1808: Z1808
Z1809: Z1809
Z1810: Z1810
# Profundo Lamento
Z1901: Z1901
Z1902: Z1902
Z1903: Z1903
Z1904: Z1904
Z1905: Z1905
Z1906: Z1906
Z1907: Z1907
Z1908: Z1908
Z1909: Z1909
Z1910: Z1910
Z1911: Z1911
Z1912: Z1912
Z1913: Z1913
Z1914: Z1914
Z1915: Z1915
Z1917: Z1917
Z1918: Z1918
Z1919: Z1919
Z1920: Z1920
# Sea of Ink
Z2001: Z2001
Z2002: Z2002
Z2003: Z2003
Z2004: Z2004
Z2005: Z2005
# Labyrinth of Tides
Z2101: Z2101
Z2102: Z2102
Z2103: Z2103
Z2104: Z2104
Z2105: Z2105
Z2106: Z2106
Z2107: Z2107
Z2108: Z2108
Z2109: Z2109
Z2110: Z2110
Z2111: Z2111
Z2112: Z2112
Z2113: Z2113
Z2114: Z2114
Z2115: Z2115
Z2116: Z2116
Z2117: Z2117
Z2118: Z2118
Z2119: Z2119
Z2120: Z2120
Z2121: Z2121
Z2122: Z2122
Z2123: Z2123
Z2124: Z2124
Z2125: Z2125
Z2126: Z2126
Z2127: Z2127
Z2128: Z2128
Z2129: Z2129
Z2130: Z2130
Z2131: Z2131
Z2132: Z2132
Z2133: Z2133
Z2134: Z2134
Z2135: Z2135
Z2136: Z2136
Z2137: Z2137
Z2138: Z2138
Z2139: Z2139
Z2140: Z2140
Z2141: Z2141
Z2142: Z2142
Z2143: Z2143
Z2144: Z2144
Z2145: Z2145
Z2146: Z2146
Z2147: Z2147
Z2148: Z2148
Z2149: Z2149
Z2150: Z2150
# Beneath Her Sacred Grounds
Z2301: Z2301
Z2302: Z2302
Z2303: Z2303
Z2304: Z2304
Z2305: Z2305
Z2306: Z2306
Z2307: Z2307
Z2308: Z2308
Z2309: Z2309
Z2310: Z2310
Z2311: Z2311
Z2312: Z2312
Z2313: Z2313
Z2314: Z2314
Z2315: Z2315
Z2316: Z2316
Z2317: Z2317
# Garden of the High Choirs
Z2401: Z2401
Z2402: Z2402
# Chapel of the Five Doves
Z2501: Z2501
# Forlorn Patio
Z2601: Z2601
# Icebound Mausoleum
Z2701: Z2701
Z2702: Z2702
Z2703: Z2703
Z2704: Z2704
Z2705: Z2705
Z2706: Z2706
Z2707: Z2707
Z2708: Z2708
Z2709: Z2709
Z2710: Z2710
Z2711: Z2711
Z2712: Z2712
Z2713: Z2713
Z2714: Z2714
Z2715: Z2715
Z2716: Z2716
Z2717: Z2717
Z2718: Z2718
Z2719: Z2719
Z2720: Z2720
Z2721: Z2721
Z2722: Z2722
Z2723: Z2723
Z2724: Z2724
Z2725: Z2725
Z2726: Z2726
Z2727: Z2727
Z2728: Z2728
Z2729: Z2729
Z2730: Z2730
Z2731: Z2731
Z2732: Z2732
Z2733: Z2733
Z2734: Z2734
Z2735: Z2735
Z2736: Z2736
Z2737: Z2737
Z2738: Z2738
Z2739: Z2739
Z2740: Z2740
Z2741: Z2741
Z2742: Z2742
Z2743: Z2743
Z2744: Z2744
Z2745: Z2745
Z2746: Z2746
Z2747: Z2747
Z2748: Z2748
Z2749: Z2749
Z2750: Z2750
Z2751: Z2751
Z2752: Z2752
# Santa Vigilia
Z2801: Z2801
Z2802: Z2802
Z2803: Z2803
Z2804: Z2804
Z2805: Z2805
Z2806: Z2806
Z2807: Z2807
Z2808: Z2808
Z2809: Z2809
Z2810: Z2810
Z2811: Z2811
Z2812: Z2812
Z2813: Z2813
Z2814: Z2814
Z2815: Z2815
Z2816: Z2816
Z2817: Z2817
Z2818: Z2818
Z2819: Z2819
Z2820: Z2820
Z2821: Z2821
Z2822: Z2822
Z2823: Z2823
Z2824: Z2824
Z2825: Z2825
Z2826: Z2826
Z2827: Z2827
Z2828: Z2828
Z2829: Z2829
Z2830: Z2830
Z2831: Z2831
Z2832: Z2832
Z2833: Z2833
Z2834: Z2834
Z2835: Z2835
Z2836: Z2836
# Shops
SHOPHAND: Hand shop
SHOPITINERANT: Traveling shop
SHOPMISSABLES: Patio shop
